ID,Num. Funko,Nombre,Linea,Colección/ Serie,Nombre C/S,Exclusivo,Motivo,Precio ,Stock bruto,Stock neto,Imagen
CD59,59,Carl,Disney,Colección,Up movie,0,null,70,5,5,https://photos.app.goo.gl/WsU9p6hB6cz1MK1R9
RD60,60,Russell,Disney,Colección,Up movie,0,null,500,1,1,https://photos.app.goo.gl/HukRJJYdWgrVR3Kf6
DD201,201,Dug,Disney,Colección,Up movie,0,null,125,2,2,https://photos.app.goo.gl/tjpr27aoGtDJfRA4A
DD201H,201,Dug Flocked,Disney,Colección,Up movie,1, Hot Topic,300,8,8,https://photos.app.goo.gl/ZtFwJtft89a7asKH9
DD202S,202,Dug Cone of Shame,Disney,Colección,Up movie,1,San Diego Comic-Con,1100,6,6,https://photos.app.goo.gl/UswoKEaZYpCVYF7E7
DS01,1,Darth Vader,Star Wars,Serie,1,0,null,40,7,7,https://photos.app.goo.gl/XnH15tHpHHAh8mnw5
DS01H,1,Darth Vader Chrome,Star Wars,Serie,1,1,Hot Topic,65,2,2,https://photos.app.goo.gl/vJEP8Z5hv5MFA3xq8
YS02,2,Yoda ,Star Wars,Serie,1,0,null,40,3,3,https://photos.app.goo.gl/C4BREiKqUtDzbbxG9
CS06,6,Chewbacca,Star Wars,Serie,1,0,null,72,4,4,https://photos.app.goo.gl/mvBGTkPXGVmWrE1F7
CS06G,6,Chewbacca Hoth,Star Wars,Serie,1,1,GameStop,75,5,5,https://photos.app.goo.gl/DhnsU1qba3LD6zcN6
BS08,8,Boba Fett,Star Wars,Serie,2,0,null,80,1,1,https://photos.app.goo.gl/63vgkqbCktpX9SKj8
RS58,58,Rey,Star Wars,Colección,The force Awakens,0,null,50,2,2,https://photos.app.goo.gl/dLLoqyCSPr6cvLKj8
KS60,60,Kylo Ren,Star Wars,Colección,The force Awakens,0,null,38,3,3,https://photos.app.goo.gl/ArxaJh6qiu8gHt4V8
CS63,63,Chewbacca,Star Wars,Colección,The force Awakens,0,null,75,1,1,https://photos.app.goo.gl/EzwvFdi9SxoDenVD9
CS64,64,C-3PO,Star Wars,Colección,The force Awakens,0,null,40,6,6,https://photos.app.goo.gl/CEMiR8KARRrWorjY7
HS79,79,Han Solo,Star Wars,Colección,The force Awakens,0,null,42,3,3,https://photos.app.goo.gl/eYeh8rXbJSCgUoJQ8
BS116S,116,BB-8 Thumbs Up,Star Wars,Colección,The force Awakens,1,San Diego Comic-Con/Hot Topic,90,1,1,https://photos.app.goo.gl/MCPfyXwCfDDfxMs69
AS130,130,Ahsoka,Star Wars,Colección,Rebels,0,null,100,2,2,https://photos.app.goo.gl/h3aVF5FWt1vQToxr9
ES134,134,Ezra,Star Wars,Colección,Rebels,0,null,140,0,0,https://photos.app.goo.gl/w3bDoR5wdYDcraFU7
ZS137,137,Zeb,Star Wars,Colección,Rebels,0,null,50,4,4,https://photos.app.goo.gl/PSc9AQbpNzRK6tY99
JS138,138,Jyn Erso,Star Wars,Colección,Rogue One,0,null,45,8,8,https://photos.app.goo.gl/XqGdQvHsvNMgNvhM6
DS143,143,Darth Vader,Star Wars,Colección,Rogue One,0,null,76,2,2,https://photos.app.goo.gl/o9A8DCQTd2mHwWFg7
HS286,286,Han Solo Endor,Star Wars,Colección,Return of the Jedi,0,null,55,3,3,https://photos.app.goo.gl/bU8zC2tVTEa9TWHp7
DS288,288,Darth Vader Electrocuted,Star Wars,Colección,Return of the Jedi,0,null,90,2,2,https://photos.app.goo.gl/vpiE5iZJW5haBsSk6
BS297E,297,Boba Fett Futura Red/Black,Star Wars,Colección,Return of the Jedi,1,Emerald City Comic Con,285,1,1,https://photos.app.goo.gl/ej1jqY6FyYWVQwAA9
